Acné,Acne
Vitamine K,Vitamin K
Fer sulfate ferreux,Ferrous sulfate
Gluconate ferreux,Ferrous gluconate
Zinc,Zinc
Magnésium,Magnesium
Calcium carbonate,Calcium carbonate
Calcium gluconate,Calcium gluconate
Iode,Iodine
Sélénium,Selenium
Acide salicylique,Salicylic acid
Peroxyde de benzoyle,Benzoyl peroxide
Trétinoïne,Tretinoin
Adapalène,Adapalene
Zinc oxyde,Zinc oxide
Chlorhexidine,Chlorhexidine
Povidone iodée,Povidone iodine
Mupirocine,Mupirocin
Acide fusidique,Fusidic acid
Tacrolimus topique,Topical tacrolimus
Pimécrolimus,Pimecrolimus
Calcipotriol,Calcipotriol
Perméthrine,Permethrin
Timolol collyre,Timolol eye drops
Dorzolamide,Dorzolamide
Latanoprost,Latanoprost
Ciprofloxacine oculaire,Ciprofloxacin eye drops
Acide hyaluronique oculaire,Hyaluronic acid eye drops
Carmellose sodique,Sodium carmellose , Carboxymethylcellulose
Dexaméthasone oculaire,Dexamethasone eye drops
Testostérone,Testosterone
Progestérone,Progesterone
Estradiol,Estradiol
Lévonorgestrel,Levonorgestrel
Contraceptif oral combiné,Combined oral contraceptive
Contraceptif d'urgence,Emergency contraceptive
Misoprostol,Misoprostol
Ocytocine,Oxytocin
Clomifène,Clomifene , Clomiphene
Alendronate,Alendronate
Risédronate,Risedronate
Acide zolédronique,Zoledronic acid
Calcitonine,Calcitonin
Méthotrexate,Methotrexate
Hydroxychloroquine,Hydroxychloroquine
Ciclosporine,Ciclosporin , Cyclosporine
Tacrolimus,Tacrolimus
Azathioprine,Azathioprine
Rituximab,Rituximab
Adalimumab,Adalimumab
Infliximab,Infliximab
Étanercept,Etanercept
Trastuzumab,Trastuzumab
Bevacizumab,Bevacizumab
Imatinib,Imatinib
Tamoxifène,Tamoxifen
Anastrozole,Anastrozole
Letrozole,Letrozole
Cisplatine,Cisplatin
Carboplatine,Carboplatin
Cyclophosphamide,Cyclophosphamide
Doxorubicine,Doxorubicin
Paclitaxel,Paclitaxel
5-Fluorouracile,5-Fluorouracil,5-fu
Capécitabine,Capecitabine
Vinorelbine,Vinorelbine
Gemcitabine,Gemcitabine
Oxaliplatine,Oxaliplatin
Irinotecan,Irinotecan
Hydroxyurée,Hydroxyurea
Eau oxygénée,Hydrogen peroxide
Alcool éthylique,Ethyl alcohol
Alcool isopropylique,Isopropyl alcohol
Nitrate d'argent,Silver nitrate
Tamsulosine,Tamsulosin
Alfuzosine,Alfuzosin
Finastéride,Finasteride
Dutastéride,Dutasteride
Solifénacine,Solifenacin
Toltérodine,Tolterodine
Oxybutynine,Oxybutynin
Douleurs neuropathiques,Neuropathic pain
Douleurs chroniques,Chronic pain
Brûlures urinaires,Urinary burning
Fréquence urinaire,Urinary frequency
Incontinence urinaire,Urinary incontinence
Rétention urinaire,Urinary retention
Hématurie,Hematuria , Blood in urine
Protéinurie,Proteinuria
Trouble de la vision,Visual disturbance
Sécheresse vaginale,Vaginal dryness
Rougeur oculaire,Eye redness
Glaucome,Glaucoma
Cataracte,Cataract
Hypoacousie,Hearing loss
Acouphènes,Tinnitus
Perte de mémoire,Memory loss
Confusion,Confusion
Convulsions,Convulsions , Seizures
Tremblements,Tremors
Paralysie,Paralysis
Paresthésies,Paresthesia
Engourdissement,Numbness
AVC,Stroke , Cerebrovascular accident
Accident ischémique transitoire,Transient ischemic attack , TIA
Tachycardie,Tachycardia
Bradycardie,Bradycardia
Fibrillation auriculaire,Atrial fibrillation
Angor,Angina pectoris
Thrombose veineuse profonde,Deep vein thrombosis
Embolie pulmonaire,Pulmonary embolism
Choc anaphylactique,Anaphylactic shock
Ictère,Jaundice
Ascite,Ascites
Cirrhose,Cirrhosis
Pancréatite,Pancreatitis
Appendicite,Appendicitis
Syndrome du côlon irritable,Irritable bowel syndrome
Maladie de Crohn,Crohn's disease
Rectocolite hémorragique,Ulcerative colitis
Drépanocytose,Sickle cell disease
Thalassémie,Thalassemia
Thrombocytopénie,Thrombocytopenia
Leucémie,Leukemia
Lymphome,Lymphoma
Hypertrophie prostatique bénigne,Benign prostatic hyperplasia
Dysfonction érectile,Erectile dysfunction
Infertilité,Infertility
Endométriose,Endometriosis
Syndrome des ovaires polykystiques,Polycystic ovary syndrome , PCOS
Ménopause,Menopause
Ostéoporose,Osteoporosis
Rachitisme,Rickets
Fracture,Fracture
Spondylarthrite,Spondylarthritis
Lupus érythémateux,Systemic lupus erythematosus
Polyarthrite rhumatoïde,Rheumatoid arthritis
Fibromyalgie,Fibromyalgia
Obésité,Obesity
Trouble bipolaire,Bipolar disorder
Schizophrénie,Schizophrenia
Attaque de panique,Panic attack
Phobie,Phobia
Démence,Dementia
Maladie d'Alzheimer,Alzheimer's disease
Maladie de Parkinson,Parkinson's disease
Sclérose en plaques,Multiple sclerosis
Tuberculose,Tuberculosis
Septicémie,Septicemia , Blood poisoning
Choc septique,Septic shock
Covid-19,COVID-19
Dengue,Dengue fever
Typhoïde,Typhoid fever
Tétanos,Tetanus
Brucellose,Brucellosis
Leishmaniose,Leishmaniasis
Intoxication alimentaire,Food poisoning
Hypoglycémie,Hypoglycemia
Hyperglycémie,Hyperglycemia
Hypokaliémie,Hypokalemia
Hyperkaliémie,Hyperkalemia
Hyponatrémie,Hyponatremia
Déshydratation,Dehydration
Hypercalcémie,Hypercalcemia
Hypocalcémie,Hypocalcemia
Carence en vitamine B12,Vitamin B12 deficiency
Carence en acide folique,Folic acid deficiency
Cardiomyopathie,Cardiomyopathy
Péricardite,Pericarditis
Myocardite,Myocarditis
Endocardite,Endocarditis
Trouble du rythme cardiaque,Cardiac arrhythmia
Syndrome de Raynaud,Raynaud's syndrome
Thrombophlébite,Thrombophlebitis
Varices,Varicose veins
Stéatose hépatique,Hepatic steatosis , Fatty liver
Lithiase biliaire,Cholelithiasis , Gallstones
Lithiase rénale,Nephrolithiasis , Kidney stones
Glomérulonéphrite,Glomerulonephritis
Syndrome néphrotique,Nephrotic syndrome
Goitre,Goiter
Insuffisance surrénalienne,Adrenal insufficiency
